year,team,seed,wins,losses,cwins,closses
2003,Oklahoma,1,23,7,12,4
2003,Kentucky,1,27,5,16,0
2003,Texas,1,21,7,13,3
2003,Arizona,1,25,3,17,1
2003,Wake Forest,2,22,7,12,4
2003,Pittsburgh,2,25,5,13,3
2003,Florida,2,23,8,12,4
2003,Kansas,2,26,6,14,2
2003,Syracuse,3,26,3,13,3
2003,Marquette,3,25,3,14,2
2003,Xavier,3,24,6,15,1
2003,Duke,3,24,6,11,5
2003,Louisville,4,23,7,11,5
2003,Dayton,4,23,6,13,2
2003,Stanford,4,22,9,14,4
2003,Illinois,4,23,7,11,5
2003,Mississippi State,5,21,9,10,6
2003,Wisconsin,5,22,7,12,4
2003,UConn,5,22,8,10,6
2003,Notre Dame,5,23,8,10,6
2003,Oklahoma State,6,21,9,10,6
2003,Missouri,6,21,10,9,7
2003,Maryland,6,19,8,12,4
2003,Creighton,6,28,5,15,3
2003,Saint Joseph's,7,22,7,12,3
2003,Indiana,7,20,12,8,8
2003,Michigan State,7,22,9,10,6
2003,Memphis,7,21,8,12,4
2003,California,8,21,8,13,5
2003,Oregon,8,22,10,10,8
2003,LSU,8,18,13,7,9
2003,Cincinnati,8,16,12,9,7
2003,NC State,9,16,14,7,9
2003,Utah,9,25,6,11,3
2003,Purdue,9,19,9,10,6
2003,Gonzaga,9,24,7,12,2
2003,Auburn,10,21,10,7,9
2003,Alabama,10,17,11,7,9
2003,Colorado,10,20,11,9,7
2003,Arizona State,10,19,11,11,7
2003,Pennsylvania ,11,22,5,14,0
2003,Southern Illinois,11,24,6,16,2
2003,UNC Wilmington,11,24,6,15,3
2003,Central Michigan,11,25,6,14,4
2003,Butler,12,27,3,14,2
2003,Weber State,12,26,5,14,0
2003,Brigham Young,12,22,9,10,4
2003,Milwaukee,12,24,7,13,3
2003,Austin Peay,13,23,7,13,3
2003,Tulsa,13,23,8,12,6
2003,San Diego,13,18,11,10,4
2003,Western Kentucky,13,24,8,12,2
2003,Manhattan,14,23,6,14,4
2003,Holy Cross,14,26,4,13,1
2003,Troy,14,26,5,14,2
2003,Colorado State,14,19,13,5,9
2003,East Tennessee State,15,20,10,11,5
2003,Wagner,15,21,10,14,4
2003,Sam Houston State,15,23,6,17,3
2003,Utah State,15,24,8,12,6
2003,South Carolina State,16,20,10,15,3
2003,IU Indy,16,20,13,10,4
2003,Texas Southern,16,17,13,11,7
2003,UNC Asheville,16,15,15,8,8
2003,Vermont,16,21,12,11,5
